AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.Title,CurrentType.Title,Provincie
52.37612866380192,4.6232540415333006,Koorstraat,AC (Three-Phase),Noord-Holland
52.38002741031801,4.617947970403748,Westerstraat,AC (Three-Phase),Noord-Holland
52.37936273410284,4.624896923061669,Leidseplein 5,AC (Three-Phase),Noord-Holland
52.379180705342606,4.6255161386943655,Leidsevaart,AC (Three-Phase),Noord-Holland
52.37615398667208,4.620922324279832,Emmaplein 44,AC (Three-Phase),Noord-Holland
52.3784293311314,4.621668786092414,Oranjeboomstraat 192,,Noord-Holland
51.78351485299547,5.853117655653705,Kloosterhof 1 Malden,AC (Three-Phase),Gelderland
53.16617235219772,6.365452206876483, Allego (NL) - 2 Beelen - Tolbert,AC (Three-Phase),Groningen
52.09439885061656,5.13682600351558,1A Maliestraat,AC (Three-Phase),Utrecht
52.09460183680176,5.137383584372742,Partou Kinderopvang,AC (Three-Phase),Utrecht
52.08747062866928,5.1294540610476815,2 Johan de Wittstraat,AC (Three-Phase),Utrecht
52.08681383473356,5.12965218031195,50 Maliesingel,AC (Three-Phase),Utrecht
52.08753185131545,5.144907961435706,146-BS Frederik Hendrikstraat,AC (Three-Phase),Utrecht
52.0893326912462,5.144997951445703,Frederik Hendrikstraat,AC (Three-Phase),Utrecht
52.08933791435135,5.144052165853964,Dillenburgstraat,AC (Three-Phase),Utrecht
52.09133977918398,5.144411430434616,Frederik Hendrikstraat,AC (Three-Phase),Utrecht
52.09121125838772,5.14362166824526,22 Johan Willem Frisostraat,AC (Three-Phase),Utrecht
52.09091765343223,5.1426455651408105,Johan Willem Frisostraat,AC (Three-Phase),Utrecht
52.09156927028508,5.142013335418824,Stolberglaan,,Utrecht
52.09334789225565,5.13998540702346,Emmalaan,AC (Three-Phase),Utrecht
52.0940658780172,5.138216938305618,74 Wolter Heukelslaan,AC (Three-Phase),Utrecht
52.09366266809928,5.138263700923744,70 Wolter Heukelslaan,AC (Three-Phase),Utrecht
52.09299309878932,5.137815118952972,65A-BS Wolter Heukelslaan,AC (Three-Phase),Utrecht
52.08557265458322,5.134593090747785,Zonnehof,AC (Three-Phase),Utrecht
52.08539424128722,5.1366493877505945,62 Homeruslaan,AC (Three-Phase),Utrecht
52.08549713969251,5.139713048908561,Koningslaan,AC (Three-Phase),Utrecht
52.09005478679455,5.133734557582329,Wagendwarsstraat,AC (Three-Phase),Utrecht
52.08818594300041,5.133346335065994,15 Bloesemstraat,AC (Three-Phase),Utrecht
52.086329944695024,5.13538062577652,Minervaplein,AC (Three-Phase),Utrecht
52.08692819056603,5.135704882230243,80 Bankstraat,AC (Three-Phase),Utrecht
52.0872231173976,5.14253424432502,Willem de Zwijgerstraat,,Utrecht
52.08916478875773,5.142193386030044,Dillenburgstraat,,Utrecht
52.091717725238425,5.138035548936045,Van Alphenplein,,Utrecht
52.09136570977645,5.13593364135636,Wolter Heukelslaan,,Utrecht
52.09067299299917,5.139545855576216,Oudwijkerveldstraat,,Utrecht
52.08811463525973,5.137616741754414,Baanstraat,,Utrecht
52.088493461074,5.138207920472382,Wilhelminapark,,Utrecht
